"PVWatts Hourly PV Performance Data"
"Requested Location","San Diego"
"Location","Lat, Lng: 32.73, -117.18"
"Latitude (DD)","32.73"
"Longitude (DD)","-117.18"
"Elevation (m)","24"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","47.94"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","24","7","155","136","13.8","3.4","0.15","172.393","17.068","588.303","551.603"
"3","24","8","222","224","14.3","3.9","0.15","324.809","20.02","1125.705","1069.963"
"3","24","9","431","270","15","4.3","0.15","597.584","24.923","2037.091","1949.055"
"3","24","10","844","157","15.7","4.6","0.15","930.67","30.535","3097.257","2971.654"
"3","24","11","616","275","16.1","4.8","0.15","876.634","29.69","2911.724","2792.696"
"3","24","12","876","151","16.1","5.1","0.15","1003.727","31.095","3321.037","3187.505"
"3","24","13","927","114","15.8","5.1","0.15","939.617","29.854","3140.932","3013.782"
"3","24","14","886","106","15.4","4.9","0.15","777.389","27.347","2647.151","2537.498"
"3","24","15","809","95","15.2","4.8","0.15","560.677","23.952","1953.695","1868.613"
"3","24","16","651","77","14","4.3","0.15","300.957","18.949","1001.384","950.047"
"3","24","17","290","41","13.2","3.7","0.15","63.741","14.241","154.312","132.99"
"3","24","18","0","0","12.7","3.2","0.15","0","12.7","0","0"
"3","24","19","0","0","12.5","3","0.15","0","12.5","0","0"
"3","24","20","0","0","12.5","2.9","0.15","0","12.5","0","0"
"3","24","21","0","0","12.4","2.7","0.15","0","12.4","0","0"
"3","24","22","0","0","12.3","2.6","0.15","0","12.3","0","0"
"3","24","23","0","0","12.2","2.5","0.15","0","12.2","0","0"
"3","25","0","0","0","12.2","2.8","0.15","0","12.2","0","0"
"3","25","1","0","0","12.2","3.1","0.15","0","12.2","0","0"
"3","25","2","0","0","12.2","3.3","0.15","0","12.2","0","0"
"3","25","3","0","0","12.2","3.5","0.15","0","12.2","0","0"
"3","25","4","0","0","12.2","3.7","0.15","0","12.2","0","0"
"3","25","5","0","0","12.5","3.8","0.15","0","12.5","0","0"
"3","25","6","176","51","13","4","0.15","67.407","14.111","190.217","167.622"
"3","25","7","163","142","13.6","4.4","0.15","180.036","16.547","616.268","578.577"
"3","25","8","481","184","14.3","4.6","0.15","466.275","21.758","1623.617","1550.232"
"3","25","9","821","133","15.1","4.9","0.15","782.022","27.109","2658.164","2548.121"
"3","25","10","926","113","15.9","5","0.15","952.175","30.317","3173.407","3045.106"
"3","25","11","944","118","16.3","5.2","0.15","1029.704","31.496","3401.582","3265.196"
"3","25","12","947","118","16.4","5.4","0.15","1026.684","31.189","3396.724","3260.51"
"3","25","13","931","115","16","5.5","0.15","941.405","29.413","3151.465","3023.941"
"3","25","14","886","109","15.5","5.6","0.15","783.874","26.558","2675.937","2565.264"
"3","25","15","809","99","15.2","5.6","0.15","561.542","23.144","1962.029","1876.652"
"3","25","16","658","79","13.7","5.2","0.15","302.664","18.125","1008.608","957.015"
"3","25","17","307","42","12.5","4.5","0.15","64.858","13.444","156.988","135.571"
"3","25","18","0","0","11.7","4","0.15","0","11.7","0","0"
"3","25","19","0","0","11.5","3.9","0.15","0","11.5","0","0"
"3","25","20","0","0","11.5","3.8","0.15","0","11.5","0","0"
"3","25","21","0","0","11.5","3.7","0.15","0","11.5","0","0"
"3","25","22","0","0","11.6","3.6","0.15","0","11.6","0","0"
"3","25","23","0","0","11.7","3.3","0.15","0","11.7","0","0"
"3","26","0","0","0","11.9","3","0.15","0","11.9","0","0"
"3","26","1","0","0","12.1","2.8","0.15","0","12.1","0","0"
"3","26","2","0","0","12.2","2.8","0.15","0","12.2","0","0"
"3","26","3","0","0","12.1","3","0.15","0","12.1","0","0"
"3","26","4","0","0","11.9","3.2","0.15","0","11.9","0","0"
"3","26","5","0","0","12.1","3.4","0.15","0","12.1","0","0"
"3","26","6","351","53","12.9","3.9","0.15","95.777","14.467","256.316","231.38"
"3","26","7","683","84","13.9","4.3","0.15","346.459","19.628","1176.776","1119.224"
"3","26","8","767","114","14.9","4.1","0.15","582.094","24.881","2014.812","1927.564"
"3","26","9","656","190","15.8","3.7","0.15","707.045","28.611","2384.848","2284.489"
"3","26","10","576","260","16.6","3.4","0.15","778.509","31.342","2577.809","2470.613"
"3","26","11","947","119","17.1","3.4","0.15","1031.331","36.639","3339.004","3204.836"
"3","26","12","928","126","17.4","3.7","0.15","1013.247","35.73","3293.768","3161.202"
"3","26","13","889","133","17.4","4.3","0.15","928.008","32.81","3064.739","2940.289"
"3","26","14","838","127","17.1","4.7","0.15","761.679","29.108","2573.655","2466.606"
"3","26","15","755","112","16.8","4.8","0.15","541.109","25.244","1873.5","1791.26"
"3","26","16","476","98","15.4","4.7","0.15","251.049","19.315","832.716","787.355"
"3","26","17","272","43","14","4.1","0.15","61.122","14.949","150.452","129.267"
"3","26","18","0","0","13","3.3","0.15","0","13","0","0"
"3","26","19","0","0","12.7","2.7","0.15","0","12.7","0","0"
"3","26","20","0","0","12.9","2.3","0.15","0","12.9","0","0"
"3","26","21","0","0","13.3","1.8","0.15","0","13.3","0","0"
"3","26","22","0","0","13.2","1.3","0.15","0","13.2","0","0"
"3","26","23","0","0","12.8","1","0.15","0","12.8","0","0"
"3","27","0","0","0","12.5","0.9","0.15","0","12.5","0","0"
"3","27","1","0","0","12.2","0.9","0.15","0","12.2","0","0"
"3","27","2","0","0","11.8","1","0.15","0","11.8","0","0"
"3","27","3","0","0","11.4","1.2","0.15","0","11.4","0","0"
"3","27","4","0","0","11","1.4","0.15","0","11","0","0"
"3","27","5","0","0","11.7","1.6","0.15","0","11.7","0","0"
"3","27","6","424","51","13.9","2.2","0.15","105.942","16.189","276.85","251.186"
"3","27","7","719","81","16.2","2.7","0.15","356.714","23.768","1191.976","1133.885"
"3","27","8","855","97","17.8","2.7","0.15","617.315","31.014","2088.974","1999.099"
"3","27","9","926","105","19.1","2.4","0.15","828.128","37.772","2701.54","2589.959"
"3","27","10","964","110","19.9","2.3","0.15","980.052","42.382","3113.001","2986.841"
